	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-K4-A5RI-11A-11R-A28M-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GD-A3OQ-11A-21R-A220-07
162993	503.95	403.5	466.88	642.59	336.79	518.15	163.28	514.56	503.95	199.85	423.61	387.02	412	293.07	397.93	536.45	616.37
162998	0	5.28	14.56	0	0.74	0	0	1.58	0.44	0	1.07	0.44	0	0.38	0.45	0.79	0.74
163033	151.22	121.79	135.24	267.73	236.21	217.27	104.42	232.94	156.59	126.12	204.07	88.88	277.2	170.25	170.25	232.94	148.09
163049	194.36	209.84	258.57	177.53	182.55	122.64	137.14	251.48	293.07	107.38	145.02	115.16	111.21	197.09	223.41	181.28	236.21
163050	128.79	47.17	169.07	190.34	115.97	102.97	65.72	120.94	155.5	41.22	105.15	25.91	54.72	98.04	152.28	77.79	169.07
163051	31.9	14.56	25.91	38.12	24.99	15.45	11.21	23.25	52.82	12	21.16	8.38	10.16	25.54	37.05	14.14	36.79
163059	84.63	57.08	76.17	206.94	84.63	144.01	79.45	108.14	90.77	56.68	84.04	44.25	94.01	72.52	141.02	153.34	158.79
163071	2.2	0	2.86	4.06	0.75	2.36	0	0.82	0.45	3.29	3.89	1.33	0	2.94	0.89	0.8	1.48
163081	63.45	49.56	117.6	110.43	72.01	55.49	48.18	105.15	111.99	90.77	79.45	64.34	67.59	108.14	57.49	88.88	102.25
163087	68.55	78.89	103.69	110.43	83.45	71	51.35	115.16	171.45	64.34	77.79	72.52	71	73.54	100.83	63	102.97
163115	176.29	70.51	183.82	218.79	92.7	17.64	17.38	132.44	95.34	40.93	139.07	141.02	100.83	105.15	109.66	260.38	269.6
163126	241.19	166.73	190.34	187.71	327.56	181.28	281.09	237.86	224.97	248	260.38	172.65	88.88	291.04	214.27	139.07	145.02
163131	142.01	139.07	181.28	197.09	143.01	65.26	90.14	146.03	177.53	72.01	163.28	138.1	85.22	151.22	136.19	154.42	185.11
163154	11.04	8.92	16.39	53.95	11.82	59.97	77.25	28.45	9.63	40.36	55.49	12.36	37.85	18.03	7.57	36.01	32.36
163175	182.55	420.68	713.11	175.07	291.04	237.86	146.03	323.03	444.72	358.54	400.71	339.14	145.02	325.29	197.09	291.04	175.07
163183	6.26	5.87	12.74	149.12	403.5	72.52	17.64	92.7	2.68	10.47	96.68	2.71	51.71	81.71	18.16	84.63	24.81
163223	5.28	5.32	7.34	24.46	2.61	3.03	2.41	7.51	9.48	0.85	3.92	6.57	4.21	5.15	4.86	2.78	3.35
163227	38.12	16.88	47.5	48.18	71.5	46.84	26.67	29.7	36.27	18.16	59.55	26.67	48.18	76.17	31.22	91.41	105.89
